TICKER,YEAR,CALENDAR_YEAR,PERIOD,NET_INCOME,DEPRECIATION_AND_AMORTIZATION,DEFERRED_INCOME_TAX,STOCK_BASED_COMPENSATION,CHANGE_IN_WORKING_CAPITAL,ACCOUNTS_RECEIVABLES,INVENTORY,ACCOUNTS_PAYABLES,OTHER_WORKING_CAPITAL,OTHER_NON_CASH_ITEMS,NET_OPERATING_ACTIVITIES,INVESTMENTS_IN_PROPERTY_PLANT_AND_EQUIPMENT,ACQUISITIONS,PURCHASES_OF_INVESTMENTS,SALES_OF_INVESTMENTS,OTHER_INVESTING_ACTIVITES,NET_INVESTING_ACTIVITES,DEBT_PAYMENT,COMMON_STOCK_ISSUED,COMMON_STOCK_REPURCHASED,DIVIDENDS_PAID,OTHER_FINANCING_ACTIVITES,NET_FINANCING_ACTIVITIES,FOREX_CHANGE,NET_CHANGE_IN_CASH,OPERATING_CASH_FLOW,CAPITAL_EXPENDITURE,FREE_CASH_FLOW
VZ,2012,2012,FY,875000000,16460000000,-952000000,0,-403000000,-1717000000,-136000000,0,-5721000000,15506000000,31486000000,0,-913000000,0,0,-19589000000,-20502000000,-6403000000,315000000,0,-5230000000,-9935000000,-21253000000,0,-10269000000,31486000000,-20110000000,11376000000
VZ,2011,2011,FY,2404000000,16496000000,-223000000,0,-5179000000,0,208000000,0,-2900000000,16282000000,29780000000,0,-2018000000,0,35000000,-15267000000,-17250000000,-11805000000,241000000,0,-5555000000,11283000000,-5836000000,0,6694000000,29780000000,-16244000000,13536000000
VZ,2010,2010,FY,2549000000,16405000000,3233000000,0,-1728000000,-859000000,299000000,0,-1930000000,12904000000,33363000000,0,-1438000000,-3000000,0,-13613000000,-15054000000,-8136000000,0,0,-5412000000,-102000000,-13650000000,0,4659000000,33363000000,-16458000000,16905000000
VZ,2009,2009,FY,3651000000,16532000000,1384000000,0,-2511000000,-1393000000,235000000,0,-102000000,12509000000,31565000000,0,-5958000000,0,84000000,-17457000000,-23331000000,-19260000000,0,0,-5271000000,8524000000,-16007000000,0,-7773000000,31565000000,-17047000000,14518000000
VZ,2008,2008,FY,6428000000,14565000000,2183000000,0,-3033000000,-1085000000,-188000000,0,-59000000,6477000000,26620000000,0,-15904000000,0,0,-15675000000,-31579000000,-4146000000,16000000,-1368000000,-4994000000,24080000000,13588000000,0,8629000000,26620000000,-17238000000,9382000000
VZ,2007,2007,FY,5521000000,14377000000,408000000,0,-2893000000,-1931000000,-255000000,0,-140000000,8326000000,25739000000,0,0,-763000000,169000000,-15514000000,-16108000000,-5503000000,1274000000,-2843000000,-4773000000,148000000,-11697000000,0,-2066000000,25739000000,-17538000000,8201000000
VZ,2006,2006,FY,6197000000,14545000000,-252000000,0,-1635000000,-1312000000,8000000,0,52000000,5251000000,24106000000,0,0,-1422000000,290000000,-14484000000,-15616000000,-11233000000,174000000,-1700000000,-4719000000,11447000000,-6031000000,0,2459000000,24106000000,-17101000000,7005000000
VZ,2005,2005,FY,7397000000,14047000000,-1059000000,0,-2410000000,-933000000,-252000000,0,-191000000,4037000000,22012000000,0,1326000000,-5028000000,0,-14790000000,-18492000000,-3919000000,37000000,-271000000,-4427000000,3546000000,-5034000000,0,-1514000000,22012000000,-15324000000,6688000000
VZ,2004,2004,FY,7831000000,13910000000,1842000000,0,-3243000000,-1617000000,-274000000,0,578000000,1480000000,21820000000,0,1720000000,-1296000000,0,-10767000000,-10343000000,-5981000000,320000000,-370000000,-4262000000,437000000,-9856000000,0,1621000000,21820000000,-13259000000,8561000000
VZ,2003,2003,FY,3077000000,13617000000,826000000,0,1726000000,-844000000,-65000000,0,-8000000,3236000000,22482000000,0,229000000,-3049000000,1767000000,-11193000000,-12246000000,-12089000000,839000000,0,-4239000000,4530000000,-10959000000,0,-723000000,22482000000,-11884000000,10598000000
