TICKER,YEAR,CALENDAR_YEAR,PERIOD,CASH_AND_EQUIVALENTS,SHORT_TERM_INVESTMENTS,CASH_AND_SHORT_TERM_INVESTMENTS,NET_RECEIVABLES,INVENTORY,OTHER_CURRENT_ASSETS,TOTAL_CURRENT_ASSETS,PROPERTY_PLANT_EQUIPMENTNET,GOODWILL,INTANGIBLE_ASSETS,GOOD_WILL_AND_INTANGIBLE_ASSETS,LONG_TERM_INVESTMENTS,TAX_ASSETS,OTHER_NON_CURRENT_ASSETS,TOTAL_NON_CURRENT_ASSETS,OTHER_ASSETS,TOTAL_ASSETS,ACCOUNTS_PAYABLES,SHORT_TERM_DEBT,TAX_PAYABLES,DEFERRED_REVENUE,OTHER_CURRENT_LIABILITIES,TOTAL_CURRENT_LIABILITIES,LONG_TERM_DEBT,DEFERRED_REVENUE_NONCURRENT,DEFERRED_TAX_LIABILITIES_NONCURRENT,OTHER_NONCURRENT_LIABILITIES,TOTAL_NONCURRENT_LIABILITIES,OTHER_LIABILITIES,CAPITAL_LEASE_OBLIGATIONS,TOTAL_LIABILITIES,PREFERRED_STOCK,COMMON_STOCK,RETAINED_EARNINGS,ACCUMULATED_OTHER_COMPREHENSIVE_INCOME,OTHER_TOTAL_STOCKHOLDERS_EQUITY,TOTAL_STOCKHOLDERS_EQUITY,TOTAL_EQUITY,TOTAL_LIABILITIES_AND_STOCKHOLDERS_EQUITY,MINORITY_INTEREST,TOTAL_LIABILITIES_AND_TOTAL_EQUITY,TOTAL_INVESTMENTS,TOTAL_DEBT,NET_DEBT
BRK.A,1999,1999,FY,3835000000,0,3835000000,8558000000,0,98839000000,111232000000,1903000000,18281000000,0,18281000000,0,0,0,20184000000,0,131416000000,0,0,0,0,0,0,2465000000,0,9566000000,0,12031000000,60201000000,0,72232000000,0,8000000,15321000000,0,43855000000,59184000000,59184000000,131416000000,0,131416000000,0,2465000000,-1370000000
BRK.A,1998,1998,FY,13582000000,0,13582000000,7224000000,0,81494000000,102300000000,1491000000,18446000000,0,18446000000,0,0,0,19937000000,0,122237000000,0,297000000,0,0,0,297000000,2088000000,0,11762000000,0,13850000000,49043000000,0,63190000000,0,8000000,13764000000,0,45275000000,59047000000,59047000000,122237000000,0,122237000000,0,2385000000,-11197000000
BRK.A,1997,1997,FY,1002400000,0,1002400000,1711500000,0,49274000000,51987900000,1056500000,3066500000,0,3066500000,0,0,0,4123000000,0,56110900000,0,2266700000,0,0,0,2266700000,0,0,10538800000,0,0,21932500000,0,24199200000,0,7000000,10934300000,0,20970400000,31911700000,31911700000,56110900000,0,56110900000,0,2266700000,1264300000
BRK.A,1996,1996,FY,1339800000,0,1339800000,1523200000,0,36402000000,39265000000,1034200000,3110300000,0,3110300000,0,0,0,4144500000,0,43409500000,0,1944400000,0,0,0,1944400000,0,0,6837600000,0,0,17703700000,0,19648100000,0,7000000,9032700000,0,14721700000,23761400000,23761400000,43409500000,0,43409500000,0,1944400000,604600000
BRK.A,1995,1995,FY,2744500000,0,2744500000,718900000,0,0,0,333300000,0,0,0,0,0,0,0,29928800000,29928800000,482100000,0,0,0,0,0,1061700000,0,0,0,1061700000,11385500000,0,12447200000,0,0,5610400000,0,11871200000,17481600000,17481600000,29928800000,0,29928800000,0,1061700000,-1682800000
BRK.A,1994,1994,FY,289900000,0,289900000,580600000,0,0,0,275700000,0,0,0,0,0,0,0,21338200000,21338200000,397400000,0,0,0,0,0,810700000,0,0,0,810700000,8453300000,0,9264000000,0,0,4885200000,0,7189000000,12074200000,12074200000,21338200000,0,21338200000,0,810700000,520800000
BRK.A,1993,1993,FY,1838100000,0,1838100000,525300000,0,0,0,259700000,0,0,0,0,0,0,0,19520500000,19520500000,738900000,0,0,0,0,0,972400000,0,0,0,972400000,7937400000,0,8909800000,0,0,4390400000,0,6220300000,10610700000,10610700000,19520500000,0,19520500000,0,972400000,-865700000
BRK.A,1992,1992,FY,1192400000,0,1192400000,690600000,0,0,0,224500000,0,0,0,0,0,0,0,16944800000,16944800000,895600000,0,0,0,0,0,1299800000,0,0,0,1299800000,6619200000,0,7919000000,0,0,3702300000,0,5323500000,9025800000,9025800000,16944800000,0,16944800000,0,1299800000,107400000
BRK.A,1991,1991,FY,762000000,0,762000000,904500000,0,0,0,222100000,0,0,0,0,0,0,0,14461900000,14461900000,779100000,0,0,0,0,0,1255100000,0,0,0,1255100000,5709700000,0,6964800000,0,0,3295000000,0,4202100000,7497100000,7497100000,14461900000,0,14461900000,0,1255100000,493100000
BRK.A,1990,1990,FY,247000000,0,247000000,705600000,0,0,0,209900000,0,0,0,0,0,0,0,10670400000,10670400000,475900000,0,0,0,0,0,1239400000,0,1111800000,0,2351200000,2938500000,0,5289700000,0,0,2855100000,0,2525600000,5380700000,5380700000,10670400000,0,10670400000,0,1239400000,992400000
