TICKER,YEAR,CALENDAR_YEAR,PERIOD,REVENUE,COST_OF_REVENUE,GROSS_PROFIT,GROSS_PROFIT_RATIO,RESEARCH_AND_DEVELOPMENT_EXPENSES,GENERAL_AND_ADMINISTRATIVE_EXPENSES,SELLING_AND_MARKETING_EXPENSES,SELLING_GENERAL_AND_ADMINISTRATIVE_EXPENSES,OTHER_EXPENSES,OPERATING_EXPENSES,COST_AND_EXPENSES,INTEREST_INCOME,INTEREST_EXPENSE,DEPRECIATION_AND_AMORTIZATION,EBITDA_EARNINGS_BEFORE_INTEREST_TAX_DEPRECATION_AND_AMORITZATION,EBITDA_RATIO,OPERATING_INCOME,OPERATING_INCOME_RATIO,OTHER_INCOME_EXPENSES,INCOME_BEFORE_TAX,INCOME_BEFORE_TAX_RATIO,INCOME_TAX_EXPENSE,NET_INCOME,NET_INCOME_RATIO,EPS_EARNINGS_PER_SHARE,EPS_EARNINGS_PER_SHARE_DILUTED,WEIGHTED_AVERAGE_SHARES_OUTSTANDING,WEIGHTED_AVERAGE_SHARES_OUTSTANDING_DILUTED
AXP,2012,2012,FY,31582000000,0,31582000000,0.0,0,6597000000,9971000000,16568000000,0,16568000000,0,6854000000,2226000000,991000000,9668000000,0.3061237413716674,0,0.0,6451000000,6451000000,0.20426192134760307,1969000000,4482000000,0.1419162814261288,3.91,3.89,1135000000,1141000000
AXP,2011,2011,FY,29962000000,0,29962000000,0.0,0,6252000000,9930000000,16182000000,0,16182000000,0,6961000000,2320000000,918000000,10230000000,0.34143248114278085,0,0.0,6956000000,6956000000,0.23216073693344905,2057000000,4935000000,0.1647086309325145,4.14,4.12,1178000000,1184000000
AXP,2010,2010,FY,27639000000,0,27639000000,0.0,0,5566000000,8644000000,14210000000,0,14210000000,0,7292000000,2423000000,917000000,9304000000,0.33662578240891494,0,0.0,5964000000,5964000000,0.2157820471073483,1907000000,4057000000,0.1467853395564239,3.37,3.35,1188000000,1195000000
AXP,2009,2009,FY,24312000000,0,24312000000,0.0,0,5080000000,6467000000,11547000000,0,11547000000,0,5331000000,2207000000,1070000000,6111000000,0.2513573543928924,0,0.0,2841000000,2841000000,0.1168558736426456,704000000,2130000000,0.08761105626850937,1.54,1.54,1168000000,1171000000
AXP,2008,2008,FY,28365000000,0,28365000000,0.0,0,6090000000,7361000000,13451000000,0,13451000000,0,7745000000,3555000000,712000000,7676000000,0.2706151947823021,0,0.0,3581000000,3581000000,0.12624713555438039,710000000,2699000000,0.09515247664375111,2.34,2.33,1154000000,1157000000
AXP,2007,2007,FY,27731000000,0,27731000000,0.0,0,5389000000,7817000000,13206000000,0,13206000000,0,8441000000,3826000000,648000000,10004000000,0.3607515055353215,0,0.0,5566000000,5566000000,0.20071400238000794,1518000000,4012000000,0.14467563376726408,3.42,3.35,1173000000,1196000000
AXP,2006,2006,FY,25900000000,0,25900000000,0.0,0,4954000000,6516000000,11470000000,0,11470000000,0,4679000000,2878000000,645000000,8829000000,0.3408880308880309,0,0.0,5328000000,5328000000,0.2057142857142857,1599000000,3707000000,0.14312741312741312,3.06,2.99,1212000000,1238000000
AXP,2005,2005,FY,23347000000,0,23347000000,0.0,0,7602000000,5841000000,13443000000,0,13443000000,0,1055000000,920000000,602000000,6283000000,0.269113804771491,0,0.0,4248000000,4248000000,0.18195057180794105,1027000000,3734000000,0.15993489527562427,3.03,2.97,1233000000,1258000000
AXP,2004,2004,FY,28248000000,0,28248000000,0.0,0,8453000000,5083000000,13536000000,0,13536000000,0,3118000000,867000000,758000000,6505000000,0.2302817898612291,0,0.0,4951000000,4951000000,0.1752690455961484,1435000000,3445000000,0.12195553667516285,2.74,2.68,1259000000,1285000000
AXP,2003,2003,FY,24961000000,0,24961000000,0.0,0,10762000000,3901000000,14663000000,0,14663000000,0,3063000000,905000000,676000000,5815000000,0.23296342293978606,0,0.0,4247000000,4247000000,0.17014542686591083,1247000000,2987000000,0.1196666800208325,2.33,2.3,1284000000,1298000000
AXP,2002,2002,FY,22725000000,0,22725000000,0.0,0,10311000000,1548000000,11859000000,0,11859000000,0,2991000000,1082000000,951000000,5760000000,0.25346534653465347,0,0.0,3727000000,3727000000,0.164004400440044,1056000000,2671000000,0.11753575357535753,2.02,2.01,1320000000,1330000000
AXP,2001,2001,FY,21081000000,0,21081000000,0.0,0,11011000000,1301000000,12312000000,0,12312000000,0,2137000000,1501000000,1196000000,4293000000,0.20364309093496513,0,0.0,1596000000,1596000000,0.0757079834922442,285000000,1311000000,0.062188700725772025,0.99,0.98,1324000000,1336000000
AXP,2000,2000,FY,22321000000,0,22321000000,0.0,0,10579000000,1515000000,12094000000,0,12094000000,0,3290000000,1354000000,393000000,5655000000,0.25334886429819453,0,0.0,3908000000,3908000000,0.17508176156982214,1098000000,2810000000,0.12589041709600823,2.12,2.07,1327000000,1360000000
AXP,1999,1999,FY,20227000000,0,20227000000,0.0,0,9718000000,1424000000,11142000000,0,11142000000,0,3346000000,1051000000,13000000,4502000000,0.22257378751174173,0,0.0,3438000000,3438000000,0.16997083106738517,963000000,2475000000,0.1223612003757354,1.846667,1.806667,1341000000,1368000000
AXP,1998,1998,FY,18133000000,0,18133000000,0.0,0,9250000000,1228000000,10478000000,0,10478000000,0,3277000000,999000000,-212000000,3712000000,0.20470964539789335,0,0.0,2925000000,2925000000,0.16130811228147576,784000000,2141000000,0.11807202338278278,1.57,1.543333,1362000000,1389000000
